,Course ID,Subject,Catalog,Long Title,Class Units,Component Code,Component Descr,Pre Requisite Description,Career,Equivalent Courses,Descr,Key,Faculty,Department,Program,Degree,Website
19,173,ACCO,631,BUSINESS ADVISORY SERVICES,4.0,LEC,Lecture,,GRAD,,Please see GRAD Calendar,,,,,,
20,174,ACCO,635,INTEGRATED APPROACH TO AUDIT,4.0,LEC,Lecture,"   Course Prerequisite: ACCO678, ACCO643; Course Corequisite: ACCO613",GRAD,,Please see GRAD Calendar,,,,,,
21,178,ACCO,651,FINANCIAL REPORTING:COMP APP,4.0,LEC,Lecture,,GRAD,,Please see GRAD Calendar,,,,,,
22,182,ACCO,672,MANAGEMENT ACCOUNTING II,3.0,LEC,Lecture,,GRAD,,Please see GRAD Calendar,,,,,,
23,185,ACCO,681,FINAN L ACCO G/REPORT G III,3.0,LEC,Lecture,,GRAD,,Please see GRAD Calendar,,,,,,
24,186,ACCO,682,COMPREHENSIVE CASE ANALYSIS,3.0,LEC,Lecture,,GRAD,,Please see GRAD Calendar,,,,,,
25,187,ACCO,685,CASE ANALY/INTEG/EXAM PREP,6.0,LEC,Lecture,"You must complete 1 of the following rules  You must complete ALL of the following rules  Course Prerequisite: ACCO613, ACCO631, ACCO635",GRAD,,Please see GRAD Calendar,,,,,,
26,189,ACCO,690B,ADV EXAM WRITING TECHNIQUES,1.0,LEC,Lecture,,GRAD,,Please see GRAD Calendar,JMSB_11,JMSB,Accountancy,Accountancy,Certificate,
27,190,ACCO,691,BUSINESS VALUATIONS,3.0,LEC,Lecture,Prerequisite:MBA 642,GRAD,,Please see GRAD Calendar,,,,,,
28,191,ACCO,695,SEMINAR IN SPECIAL TOPICS,3.0,LEC,Lecture,Prerequisite: MBA 607 or MBA 642,GRAD,,Please see GRAD Calendar,,,,,,
29,40004,ACCO,631T,TUT/BSNSS ADVISORY SERVICES,4.0,LEC,Lecture,,GRAD,,Please see GRAD Calendar,,,,,,
30,40005,ACCO,635T,TUT/INTEGRATED APPRO/AUDIT G,4.0,LEC,Lecture,,GRAD,,Please see GRAD Calendar,,,,,,
31,43001,ACCO,650,FINA REPORTING IN PRACTICE,4.0,LEC,Lecture,Students who have taken ACCO 612 and ACCO 643 may not take this course for credit,GRAD,,Please see GRAD Calendar,,,,,,
32,44001,ACCO,643X,SP TUTORIAL-INCOME TAXATION,1.0,TUT,Tutorial,,GRAD,,Please see GRAD Calendar,,,,,,
33,44002,ACCO,650T,TUTORIAL IN FINA REP/PRACTICE,4.0,LEC,Lecture,,GRAD,ACCO 600 = ACCO 650T,Please see GRAD Calendar,,,,,,
34,44002,ACCO,650T,TUTORIAL IN FINA REP/PRACTICE,4.0,LEC,Lecture,,GRAD,,Please see GRAD Calendar,,,,,,
35,44003,ACCO,651T,TUTORIAL IN FINA REP/COM APP,4.0,LEC,Lecture,,GRAD,,Please see GRAD Calendar,,,,,,
36,44004,ACCO,653,INFO SYS/INTERNAL CONTROL,4.0,LEC,Lecture,"   Course Prerequisite: ACCO650, ACCO651",GRAD,,Please see GRAD Calendar,,,,,,
37,45085,ACCO,652,BUSINESS ADVISORY SERVICES,4.0,LEC,Lecture,"Course Prerequisite: ACCO650, AntiReq ACCO631",GRAD,,Please see GRAD Calendar,,,,,,
38,45114,ACCO,470,SPECIAL TOPICS IN ACCOUNTING,3.0,LEC,Lecture,,UGRD,,Please see UGRD Calendar,,,,,,
39,45884,ACCO,652T,TUTORIAL IN BUSINESS ADV SER,4.0,LEC,Lecture,,GRAD,,Please see GRAD Calendar,,,,,,
40,45885,ACCO,653T,TUTORIAL IN INF SYS/INT.CONT,4.0,LEC,Lecture,,GRAD,,Please see GRAD Calendar,,,,,,
41,46442,ACCO,471,ACCOUNTING SEMINAR,3.0,LEC,Lecture,,UGRD,,Please see UGRD Calendar,,,,,,
42,46443,ACCO,590,SPECIAL SEMINAR/ACCOUNTING,1.0,LEC,Lecture,,GRAD,,Please see GRAD Calendar,,,,,,
43,46444,ACCO,595,SPECIAL TOPICS IN ACCO,3.0,LEC,Lecture,,GRAD,,Please see GRAD Calendar,,,,,,
44,47353,ACCO,655,Taxation and Decision-Making,4.0,LEC,Lecture,PRE-REQ ACCO 650 and ACCO 651. Anti-Req ACCO 643,GRAD,,Please see Graduate Calendar,,,,,,
45,47354,ACCO,655T,Tutorial in Taxation/Decision making,4.0,LEC,Lecture,,GRAD,,Please see Graduate Calendar,,,,,,
46,47360,ACCO,658,Capstone I Seminar,2.0,LEC,Lecture,"Prerequisite: ACCO 650, 651, 652, 653 and two elective courses",GRAD,,Please see Graduate Calendar,,,,,,
47,47361,ACCO,658T,Tutorial in Capstone I Seminar,2.0,LEC,Lecture,,GRAD,,Please see Graduate Calendar,,,,,,
48,47363,ACCO,659,Capstone II Examination Preparation,4.0,LEC,Lecture,Co-requisite: ACCO 658 or ACCO 658T or ACCO 608,GRAD,,Please see Graduate Calendar,,,,,,
49,47364,ACCO,659T,Tutorial in Capstone II Examination,4.0,LEC,Lecture,,GRAD,,Please see Graduate Calendar,,,,,,
50,47367,ACCO,654,Assurance and Professional Practice,4.0,LEC,Lecture,"COURSE PRE-REQ ACCO 650, ACCO 651, ACCO 653. Anti-Req ACCO 635",GRAD,,Please see Graduate Calendar,,,,,,
51,47368,ACCO,654T,Tutorial in Assurance and Professional Practice,4.0,LEC,Lecture,,GRAD,,Please see Graduate Calendar,,,,,,
52,47369,ACCO,656,Performance Management,4.0,LEC,Lecture,COURSE PREREQ ACCO 652 and ACCO 653,GRAD,,Please see Graduate Calendar,,,,,,
53,47370,ACCO,656T,Tutorial in Performance Management,4.0,LEC,Lecture,,GRAD,,Please see Graduate Calendar,,,,,,
54,47371,ACCO,657,Financial Strategies and Decisions,4.0,LEC,Lecture,COURSE PREREQ ACCO 652 and ACCO 651,GRAD,,Please see Graduate Calendar,,,,,,
55,47372,ACCO,657T,Tutorial in Financial Strategies and Decisions,4.0,LEC,Lecture,,GRAD,,Please see Graduate Calendar,,,,,,
56,48073,ACCO,692,Managing After-Tax Returns,3.0,LEC,Lecture,ANTI-REQ for ACCO 692,GRAD,,Please see Graduate Calendar,,,,,,
57,48544,ACCO,360,Principles of Auditing,3.0,LEC,Lecture,Course Prerequisite:  COMM 305. Never Taken ACCO 465,UGRD,ACCO 432/ACCO 450/ACCO 360,"This course examines the concepts and methods of auditing and how internal and external audits are integrated in a more general corporate governance and risk management framework. The importance of the design and monitoring of effective internal controls is highlighted. The objectives, concepts and methods of auditing are illustrated with examples and short cases. They are also applied to solve simple problems and cases. 
Prerequisite: COMM 305
NOTE: Students who have received credit for ACCO 450 may not take this course for credit.",,,,,,
58,48619,ACCO,495,HONOURS SEMINAR IN ACCOUNTANCY,6.0,LEC,Lecture,Course Prerequisite: ACCO 400 and Enrolment in the honours program,UGRD,,"This seminar is offered to students in the Honours in Accountancy program over the course of two terms. In the first term, the seminar surveys accounting history, research methodology and recent research in topics covered in the Accountancy curriculum. In addition, students begin working on a research or case project to be conducted under the supervision of a faculty member. In the second term, students complete their project for submission by the end of the term. Presentation of the project at a poster session or department seminar is also required.",JMSB_9,JMSB,Accountancy,Accountancy,Bachelor,
59,48720,ACCO,600,TUTORIAL IN FINA REP/PRACTICE,4.0,LEC,Lecture,Anti-Req ACCO 600,GRAD,ACCO 600 = ACCO 650T,Students who have taken ACCO 650T may not take this course for credit.,,,,,,
60,48720,ACCO,600,TUTORIAL IN FINA REP/PRACTICE,4.0,LEC,Lecture,Anti-Req ACCO 600,GRAD,,Students who have taken ACCO 650T may not take this course for credit.,,,,,,
61,48817,ACCO,601,TUTORIAL IN FINA REP/COM APP,4.0,LEC,Lecture,Anti-Req ACCO601,GRAD,ACCO 601 = ACCO 651T,Students who have taken ACCO 651T may not take this course for credit.,,,,,,
62,48824,ACCO,602,TUTORIAL IN BUSINESS ADV SER,4.0,LEC,Lecture,Not ACCO652T,GRAD,ACCO 602 = ACCO 652T,Students who have taken ACCO 652T may not take this course for credit,,,,,,
63,48824,ACCO,602,TUTORIAL IN BUSINESS ADV SER,4.0,LEC,Lecture,Not ACCO652T,GRAD,,Students who have taken ACCO 652T may not take this course for credit,,,,,,
64,48825,ACCO,603,TUTORIAL IN INF SYS/INT.CONT,4.0,LEC,Lecture,Not ACCO653T,GRAD,ACCO 603 = ACCO 653T,Students who have taken ACCO 653T may not take this course for credit.,,,,,,
65,48826,ACCO,604,Tutorial in Assurance and Professional Practice,4.0,LEC,Lecture,Not ACCO654T,GRAD,ACCO 604 = ACCO 654T,Students who have taken ACCO 654T may not take this course for credit,,,,,,
66,48827,ACCO,605,Tutorial in Taxation/Decision making,4.0,LEC,Lecture,Not ACCO655T,GRAD,ACCO 605 = ACCO 655T,Students who have taken ACCO 655T may not take this course for credit,,,,,,
67,48828,ACCO,606,Tutorial in Performance Management,4.0,LEC,Lecture,Not ACCO 656T,GRAD,ACCO 606 = ACCO 656T,Students who have taken ACCO 656T may not take this course for credit,,,,,,
68,48829,ACCO,607,Tutorial in Financial Strategies and Decisions,4.0,LEC,Lecture,Not ACCO657T,GRAD,ACCO 607 = ACCO 657T,Students who have taken ACCO 657T may not take this course for credit,,,,,,
69,48830,ACCO,608,Tutorial in Capstone I Seminar,2.0,LEC,Lecture,Not ACCO658T,GRAD,ACCO 608 = ACCO 658T,Students who have taken ACCO 658T may not take this course for credit,,,,,,
70,48831,ACCO,609,Tutorial in Capstone II Examination,4.0,LEC,Lecture,Not ACCO659T,GRAD,ACCO 609 = ACCO 659T,Students who have taken ACCO 659T may not take this course for credit,,,,,,
71,47731,ACTT,231,Ensemble I,3.0,LAB,Laboratory,,UGRD,TPER 298 = ACTT 231,"Prerequisite: Enrolment in the Specialization in Acting for the Theatre or written permission of the Department of Theatre. This studio class covers the elements of preparation for theatrical presentation with emphasis on the co-operative nature of theatre. Studio work includes ongoing movement and voice training, and instruction in sensory awareness, spatial relationships, improvisational techniques, and performer-audience relationships.
NOTE: Students who have received credit for this topic under a TPER 298 number may not take this course for credit.",,,,,,
72,47731,ACTT,231,Ensemble I,3.0,STU,Studio,,UGRD,TPER 298 = ACTT 231,"Prerequisite: Enrolment in the Specialization in Acting for the Theatre or written permission of the Department of Theatre. This studio class covers the elements of preparation for theatrical presentation with emphasis on the co-operative nature of theatre. Studio work includes ongoing movement and voice training, and instruction in sensory awareness, spatial relationships, improvisational techniques, and performer-audience relationships.
NOTE: Students who have received credit for this topic under a TPER 298 number may not take this course for credit.",,,,,,
73,47732,ACTT,332,Improvisation,3.0,STU,Studio,Prerequisite ACTT 332,UGRD,,"A thorough introduction to improvisation as a method of creation for the stage, using skills
such as mask, commedia dell?arte, or the techniques of Keith Johnstone.
Prerequisite: ACTT 321 and 325; or written permission of the Department of Theatre.",,,,,,
74,47733,ACTT,432,Rasaboxes,3.0,STU,Studio,Prerequisite ACTT 432,UGRD,TPER 398F = ACTT 432,"Prerequisite: ACTT 321 and 325 or written permission of the Department of Theatre. Building on the skills developed in voice and movement classes, this studio course provides an intensive introduction to the performance of emotion, based on the Rasaboxes training as developed by Richard Schechner. 
NOTE: Students who have received credit for this topic under a TPER 398 number may not
take this course for credit.",,,,,,
75,47734,ACTT,436,One-Act Project,3.0,LAB,Laboratory,,UGRD,,"Prerequisite: Permission of the Program Coordinator is required.
Description: This performance course offers supervised application of theatrical skills in
the collaborative realization of a public production of a one-act text from the worldwide
body of dramatic literature.
NOTE: Students enrolled in the course are required to pay a Theatre Lab fee.
NOTE: This course may be repeated for credit in this program, provided the subject matter
is different each time.",,,,,,
76,47734,ACTT,436,One-Act Project,3.0,STU,Studio,,UGRD,,"Prerequisite: Permission of the Program Coordinator is required.
Description: This performance course offers supervised application of theatrical skills in
the collaborative realization of a public production of a one-act text from the worldwide
body of dramatic literature.
NOTE: Students enrolled in the course are required to pay a Theatre Lab fee.
NOTE: This course may be repeated for credit in this program, provided the subject matter
is different each time.",,,,,,
77,47735,ACTT,440,Supervised Acting Performance Project,3.0,LAB,Laboratory,,UGRD,,"Prerequisite: FFAR 250; 18 credits in a specialization of the Department of Theatre; and written permission of the Department. This studio course provides students with the opportunity to work in self-selected teams to develop short projects in response to a given theme for performance in a festival format. The course involves working with limited resources with an emphasis on exploration of acting processes. This course has a public performance outcome.
NOTE: Students may be required to be present for additional hours related to technical and/or dress rehearsals as stipulated in the course syllabus.
NOTE: Students enrolled in the course are required to pay a production fee.
NOTE: This course may be repeated for credit in this program, provided the subject matter is different each time.",,,,,,
78,47735,ACTT,440,Supervised Acting Performance Project,3.0,STU,Studio,,UGRD,,"Prerequisite: FFAR 250; 18 credits in a specialization of the Department of Theatre; and written permission of the Department. This studio course provides students with the opportunity to work in self-selected teams to develop short projects in response to a given theme for performance in a festival format. The course involves working with limited resources with an emphasis on exploration of acting processes. This course has a public performance outcome.
NOTE: Students may be required to be present for additional hours related to technical and/or dress rehearsals as stipulated in the course syllabus.
NOTE: Students enrolled in the course are required to pay a production fee.
NOTE: This course may be repeated for credit in this program, provided the subject matter is different each time.",,,,,,
79,47738,ACTT,450,Advanced Acting Studio,3.0,LAB,Laboratory,"Prerequisite: ACTT 321, 325",UGRD,,"Prerequisite: ACTT 321 and 325. Building on the skills developed in movement and voice for the stage, this studio course provides the advanced student with the opportunity to apply his/her skills to text study and character development in an intensive environment without the pressure of creating a public  performance. The course may introduce a variety of acting styles to promote further skill development.",,,,,,
80,47738,ACTT,450,Advanced Acting Studio,3.0,STU,Studio,"Prerequisite: ACTT 321, 325",UGRD,,"Prerequisite: ACTT 321 and 325. Building on the skills developed in movement and voice for the stage, this studio course provides the advanced student with the opportunity to apply his/her skills to text study and character development in an intensive environment without the pressure of creating a public  performance. The course may introduce a variety of acting styles to promote further skill development.",,,,,,
81,47740,ACTT,480,Designing an Acting Workshop,3.0,STU,Studio,,UGRD,TDEV 498 = ACTT 480,"Prerequisite: Written permission of the Department of Theatre. This studio course provides students with the opportunity to design a course framework under the guidance of the instructor that includes curriculum, implementation, and assessment for students. Students develop a philosophy of teaching and learning through sustained reflection of their own creative process and selected readings.
NOTE: Students who have received credit for this topic under a TDEV 498 number may not take this course for credit.",,,,,,
82,47741,ACTT,481,Conducting an Acting Workshop,3.0,LAB,Laboratory,,UGRD,TDEV 498 = ACTT 481,"Prerequisite: ACTT 480 and written permission of the Department of Theatre. This advanced studio course builds on the skills acquired in ACTT 480 to focus on the development of skills required in conducting an acting workshop: active observation, instructional strategies
to deliver the curriculum, and assessment.
NOTE: Students who have received credit for this topic under a TDEV 498 number may not take this course for credit.",,,,,,
83,47741,ACTT,481,Conducting an Acting Workshop,3.0,STU,Studio,,UGRD,TDEV 498 = ACTT 481,"Prerequisite: ACTT 480 and written permission of the Department of Theatre. This advanced studio course builds on the skills acquired in ACTT 480 to focus on the development of skills required in conducting an acting workshop: active observation, instructional strategies
to deliver the curriculum, and assessment.
NOTE: Students who have received credit for this topic under a TDEV 498 number may not take this course for credit.",,,,,,
84,47760,ACTT,460,Classical Text Project,3.0,LAB,Laboratory,,UGRD,PROD 411 = ACTT 460,"Prerequisite: Permission of the Program Coordinator is required.
Description: This performance course offers supervised application of theatrical skills in
the collaborative realization of a public production of an iconic text from the worldwide
body of dramatic literature, written by a widely recognized playwright.
NOTE: Students enrolled in this course are required to pay a Theatre Lab fee.
NOTE: This course may be repeated for credit in this program, provided the subject matter
is different each time.",,,,,,
85,47760,ACTT,460,Classical Text Project,3.0,STU,Studio,,UGRD,PROD 411 = ACTT 460,"Prerequisite: Permission of the Program Coordinator is required.
Description: This performance course offers supervised application of theatrical skills in
the collaborative realization of a public production of an iconic text from the worldwide
body of dramatic literature, written by a widely recognized playwright.
NOTE: Students enrolled in this course are required to pay a Theatre Lab fee.
NOTE: This course may be repeated for credit in this program, provided the subject matter
is different each time.",,,,,,
86,47761,ACTT,465,THE ACTOR'S PROFESSION,3.0,LAB,Laboratory,for students who have completed 48 credits.,UGRD,PROD 412 = ACTT 465,"Prerequisite: Students must complete 48 credits in the Specialization in Acting for the
Theatre prior to enrolling. Permission of the Program Coordinator is required.

Description: This studio course involves the development of audition technique, oncamera
technique, interview skills, and other career-oriented skills. The emphasis is on
crystallizing each student's unique theatrical identity, while solidifying collaborative skills.",,,,,,
87,47761,ACTT,465,THE ACTOR'S PROFESSION,3.0,STU,Studio,for students who have completed 48 credits.,UGRD,PROD 412 = ACTT 465,"Prerequisite: Students must complete 48 credits in the Specialization in Acting for the
Theatre prior to enrolling. Permission of the Program Coordinator is required.

Description: This studio course involves the development of audition technique, oncamera
technique, interview skills, and other career-oriented skills. The emphasis is on
crystallizing each student's unique theatrical identity, while solidifying collaborative skills.",,,,,,
88,47848,ACTT,201,Introduction to Acting I,3.0,LAB,Laboratory,anti req for ACTT 201,UGRD,TPER 201 = ACTT 201,"This course emphasizes the development of imagination and physical expression, including the basics of improvisation, the playing of intention, and the group ensemble experience working towards presentation.
NOTE: Students who have received credit for TPER 201 may not take this course for credit.
NOTE: Students enrolled in this course are required to pay a production fee.
NOTE: Students enrolled in a specialization program in the Department of Theatre may not take this course for credit.",,,,,,
89,47848,ACTT,201,Introduction to Acting I,3.0,STU,Studio,anti req for ACTT 201,UGRD,TPER 201 = ACTT 201,"This course emphasizes the development of imagination and physical expression, including the basics of improvisation, the playing of intention, and the group ensemble experience working towards presentation.
NOTE: Students who have received credit for TPER 201 may not take this course for credit.
NOTE: Students enrolled in this course are required to pay a production fee.
NOTE: Students enrolled in a specialization program in the Department of Theatre may not take this course for credit.",,,,,,
90,47849,ACTT,202,Introduction to Acting II,3.0,LAB,Laboratory,prereq for ACTT 202,UGRD,TPER 202 = ACTT 202,"Prerequisite: ACTT 201 or written permission of the Department of Theatre. This course builds on skills previously acquired in the area of playing intention and group ensemble, emphasizing the development of skills pertaining to language, character, and text.
NOTE: Students who have received credit for TPER 202 or for this topic under a TPER 298 number may not take this course for credit.
NOTE: Students enrolled in this course are required to pay a production fee.",,,,,,
91,47849,ACTT,202,Introduction to Acting II,3.0,STU,Studio,prereq for ACTT 202,UGRD,TPER 202 = ACTT 202,"Prerequisite: ACTT 201 or written permission of the Department of Theatre. This course builds on skills previously acquired in the area of playing intention and group ensemble, emphasizing the development of skills pertaining to language, character, and text.
NOTE: Students who have received credit for TPER 202 or for this topic under a TPER 298 number may not take this course for credit.
NOTE: Students enrolled in this course are required to pay a production fee.",,,,,,
